municipio,uf,codigo_ibge,nome_prefeito
Mineiros,GO,5213103,ALEOMAR DE OLIVEIRA REZENDE
Moiporá,GO,5213400,WILSON JOSÉ FERREIRA
Monte Alegre de Goiás,GO,5213509,FELIPI DE SOUSA CAMPOS
Montes Claros de Goiás,GO,5213707,JOSE VILMAR MACIEL
Montividiu,GO,5213756,EDSON BUENO COUTINHO
Montividiu do Norte,GO,5213772,CLEMERSON LOPES DA SILVA
Morrinhos,GO,5213806,MAYCLLYN MAX CARREIRO RIBEIRO
Morro Agudo de Goiás,GO,5213855,DENY LELES APARECIDO ROSA
Mossâmedes,GO,5213905,MARTA MARIA CAETANO DE ALMEIDA CUNHA
Mozarlândia,GO,5214002,LUCIJANE FREIRES ALENCAR CARLOS DA SILVA
Mundo Novo,GO,5214051,MARLENE LOURENÇO
Mutunópolis,GO,5214101,LUIZ MARTINS DE OLIVEIRA
Nazário,GO,5214408,JOÃO BATISTA CARVALHO
Nerópolis,GO,5214507,LUIZ ALBERTO FRANCO ARAUJO
Niquelândia,GO,5214606,CARLOS EDUARDO MOREIRA
Nova América,GO,5214705,CLÉBER JUNIO DE SOUZA
Nova Aurora,GO,5214804,JOÃO PIMENTA DE PÁDUA JÚNOR
Nova Crixás,GO,5214838,RODRIGO BARBOSA TAVARES
Nova Glória,GO,5214861,LUIZ JOSE DA SILVA
Nova Iguaçu de Goiás,GO,5214879,JOSE RIBEIRO DE ARAUJO
Nova Roma,GO,5214903,ELEUSES RODRIGUES GONZAGA
Nova Veneza,GO,5215009,VALDEMAR BATISTA COSTA
Novo Brasil,GO,5215207,GABRIEL GOMES ALVES DE CASTRO
Novo Gama,GO,5215231,CARLOS ALVES DOS SANTOS
Novo Planalto,GO,5215256,EUDES RODRIGUES DE ARAÚJO
Orizona,GO,5215306,FELIPE ANTONIO DIAS
Ouro Verde de Goiás,GO,5215405,RODRIGO PEREIRA FONSECA
Ouvidor,GO,5215504,CÉBIO MACHADO DO NASCIMENTO
Padre Bernardo,GO,5215603,JOSELEIDE LÁZARO LUIZ DA SILVA
Palestina de Goiás,GO,5215652,ALTENIAS GONÇALVES DE SOUSA
Palmeiras de Goiás,GO,5215702,OSVALDO CASSIANO DE FARIA
Palmelo,GO,5215801,RENATO DAMASIO RESENDE
Palminópolis,GO,5215900,FRANC HELVIS VAZ
Panamá,GO,5216007,RENE DA MOTA OLIVEIRA
Paranaiguara,GO,5216304,JOSÉ CARLOS BARBOSA
Paraúna,GO,5216403,FLAVIO AUGUSTO NEGRAO DE MORAES
Perolândia,GO,5216452,GRETE ELISA BALZ ROCHA
Petrolina de Goiás,GO,5216809,TIAGO PACHECO DE JESUS
Pilar de Goiás,GO,5216908,TIAGO JAPIASSU BATISTA DO NASCIMENTO ANDRADE
Piracanjuba,GO,5217104,LENIZIA ALVES CANEDO
Piranhas,GO,5217203,FABIO LASSERRE SOUSA BORGES
Pirenópolis,GO,5217302,NIVALDO ANTÔNIO DE MELO
Pires do Rio,GO,5217401,HUGO SÉRGIO BATISTA
Planaltina,GO,5217609,CRISTIOMÁRIO DE SOUSA MEDEIROS
Pontalina,GO,5217708,EDSON GUIMARAES DE FARIA
Porangatu,GO,5218003,VANUZA PRIMO DE ARAÚJO VALADARES
Porteirão,GO,5218052,JOÃO HENRIQUE SILVA
Portelândia,GO,5218102,MARLY DAVID REZENDE RODRIGUES
Posse,GO,5218300,PAULO CEZAR KRAUSPENHAR
Professor Jamil,GO,5218391,NEY FABIO DE NOVAES
Quirinópolis,GO,5218508,ANDERSON DE PAULA SILVA
Rialma,GO,5218607,LUCAS SILVA CHAVES
Rianápolis,GO,5218706,GILBER ROQUE PEREIRA DE MIRANDA
Rio Quente,GO,5218789,ANA PAULA LIMA DE OLIVEIRA MACHADO
Rio Verde,GO,5218805,WELLINGTON SOARES CARRIJO FILHO
Rubiataba,GO,5218904,WEBER SIVIRINO DA COSTA
Sanclerlândia,GO,5219001,JOSÉ LAGARES DA CRUZ
Santa Bárbara de Goiás,GO,5219100,JOB MARTINS DE DEUS
Santa Cruz de Goiás,GO,5219209,ÂNGELO NATAL DA PAZ
Santa Fé de Goiás,GO,5219258,VICTOR FERREIRA PARENTE
Santa Helena de Goiás,GO,5219308,IRIS MARTINS PARREIRA
Santa Isabel,GO,5219357,LEVINO DE SOUZA SILVA
Santa Rita do Araguaia,GO,5219407,CARLOS TADEU ROCHA VIEIRA
Santa Rita do Novo Destino,GO,5219456,ROBERTO JOÃO DE OLIVEIRA
Santa Rosa de Goiás,GO,5219506,ULISSES ALVES DE BRITO
Santa Tereza de Goiás,GO,5219605,LEIA MENDONCA DOS REIS BORGES
Santa Terezinha de Goiás,GO,5219704,KARLA CRISTINA MOREIRA ALVES
Santo Antônio da Barra,GO,5219712,JOSÉ CÂNDIDO DO NASCIMENTO
Santo Antônio de Goiás,GO,5219738,KLEBER COSME DE FREITAS
Santo Antônio do Descoberto,GO,5219753,JESSICA APARECIDA RIBEIRO GOMES
São Domingos,GO,5219803,GILVANIR CARDOSO DOS REIS
São Francisco de Goiás,GO,5219902,CLEUTON GOMES DE MOURA
São João d'Aliança,GO,5220009,GENIVAM GONÇALVES DOS SANTOS
São João da Paraúna,GO,5220058,UBIRAJARA ANTÔNIO DUARTE JUNIOR
São Luís de Montes Belos,GO,5220108,JORCELINO MARQUES PALMEIRA JUNIOR
São Luiz do Norte,GO,5220157,ELIEUDES DIAS DE MORAES
São Miguel do Araguaia,GO,5220207,JERONYMO JOSÉ DE SIQUEIRA NETO
São Miguel do Passa Quatro,GO,5220264,GILMAR PEREIRA DE SOUZA
São Patrício,GO,5220280,DANILO MAX DE SOUZA COSTA
São Simão,GO,5220405,WALLISSON JOSE DE FREITAS
Senador Canedo,GO,5220454,FERNANDO PELLOZO
Serranópolis,GO,5220504,ZILMAR FERREIRA DA SILVA CARVALHO
Silvânia,GO,5220603,CARLOS JOSÉ MAYER DOS SANTOS
